words,lemmatized_words
آرسنال,آرسنال
آرسين,آرسين
آرشي,آرشي
آرك,آرك
آرليه,آرلي
آرماندو,آرماندو
آرمسترونج,آرمسترونج
آرمسترونجوشارك,آرمسترونجوشارك
آرمسترونغ,آرمسترونغ
آرمين,آرمين
آرن,آرن
آرنستو,آرنستو
آرنهيم,آرنهيم
آرو,آرو
آرون,أرون
آرين,آر
آرينا,آر
آرينو,آرينو
آريين,آر
آزرت,آزر
آس,آس
آستانا,آستانا
آستانة,آستانة
آسحراسة,آسحراسة
آسف,آسف
آسفة,آسف
آسيا,آسيا
آسياأحرز,آسياأحرز
آسياد,آسياد
آسياواشترى,آسياواشترى
آسياويعد,آسياويعد
آسير,آسير
آسيك,آسيك
آسيوي,آسيوي
آسيويا,آسيوي
آسيوية,آسيوي
آسيويةتكمن,آسيويةتكمن
آسيويين,آسيوي
آشبي,آشبي
آشكروفت,آشكروفت
آشلي,آشلي
آشليمان,آشليمان
آصف,آصف
آغاسي,آغاسي
آغر,آغر
آفاق,أفق
آفاقا,أفق
آفاي,آفاي
آفي,آفي
آكثر,آكثر
آكل,أكل
آل,آل
آلا,آل
آلابا,آلابا
آلات,آلة
آلارد,آلارد
آلاردايس,آلاردايس
آلاف,ألف
آلافالحكم,آلافالحكم
آلافيس,آلافيس
آلام,ألم
آلاما,ألم
آلامه,ألم
آلان,آلان
آلانا,آلان
آلبا,آلب
آلة,آلة
آلت,آلى
آلغيري,آلغيري
آلفيش,آلفيش
آلمنا,آلم
آلمني,آلمني
آلن,آلن
آلهة,إله
آلي,آلي
آليات,آلي
آليانز,آليانز
آلية,آلي
آليسوندز,آليسوندز
آليفاك,آليفاك
آليوقاد,آليوقاد
آليين,آلي
آم,آم
آمال,أمل
آمالا,أمل
آمالنا,أمل
آماله,أمل
آمالها,أمل
آمالهاعلى,آمالهاعلى
آمالهم,أمل
آمالهما,أمل
آمل,أمل
آملا,أمل
آملة,أمل
آملين,أمل
آمن,آمن
آمنا,آمن
آمنة,آمن
آمنت,آمن
آمنون,آمن
آموريبيتا,آموريبيتا
آموس,آموس
آن,آن
آنا,آنا
آنج,آنج
آنخل,آنخل
آند,أند
آندريس,آندريس
آندريه,آندريه
آندس,آندس
آندي,آندي
آنذاك,آنذاك
آنذاكوأضاف,آنذاكوأضاف
آنذاكوسيكون,آنذاكوسيكون
آنذاكولقن,آنذاكولقن
آنشيلوتي,آنشيلوتي
آنفيلد,آنفيلد
آنيا,آني
آهن,آهن
آي,آي
آيابا,آيابا
آيار,آيار
آيارمايو,آيارمايو
آياكس,آياكس
آيام,آيام
آيبار,آيبار
آيبروكسمن,آيبروكسمن
آيتور,آيتور
آيدن,آيدن
آير,آير
آيرس,آيرس
آيرساستدعاء,آيرساستدعاء
آيرسوأوضح,آيرسوأوضح
آيرسوتصدى,آيرسوتصدى
آيرش,آيرش
آيرلند,آيرلند
آيرلندا,آيرلندا
آيرلندي,آيرلندي
آيرونسايد,آيرونسايد
آيريس,آيريس
آيزا,آيزا
آيس,آيس
آيستاران,آيستاران
آيسلندا,آيسلندا
آيسلنداوقال,آيسلنداوقال
آيفي,آيفي
آيك,آيك
آيما,آيما
آينتراخت,آينتراخت
آينج,آينج
آيندهوفن,آيندهوفن
آيه,آي
آيو,آيو
آيوا,آي
أ,أ
أأقتله,أأقتله
أؤدي,أدى
أؤكد,أكد
أؤمن,أمن
أؤيد,أيد
أاصبح,أاصبح
أب,أب
أبأكد,أبأكد
أبا,أب
أبابا,أبابا
أباتي,أب
أباتيفي,أباتيفي
أبادلهم,أبادلهم
أباريشيو,أباريشيو
أباكوموفا,أباكوموفا
أبالغ,بالغ
أبالي,بالى
أبان,أبان
أباه,أب
أباها,أب
أبت,أبى
أبتسم,ابتسم
أبتعد,ابتعد
أبتكر,أبتكر
أبتنائي,أبتنائي
أبتون,أبى
أبحث,بحث
أبحرت,أبحر
أبدأ,أبدأ
أبدا,أبد
أبداه,أبدى
أبداها,أبدى
أبدت,أبدى
أبدتا,أبدتا
أبدع,أبدع
أبدعوا,أبدع
أبدل,أبدل
أبدلت,أبدل
أبدو,بدا
أبدوا,أبدى
أبدى,أبدى
أبدي,أبدي
أبديا,أبدي
أبدية,أبدي
أبديت,أبدى
أبدينا,أبدى
أبذل,بذل
أبراج,برج
أبراز,أبراز
أبراموفيتش,أبراموفيتش
أبراهام,أبراهام
أبرتورا,أبرتورا
أبردين,أبرد
أبرز,أبرز
أبرزت,أبرز
أبرزتها,أبرز
أبرزها,أبرز
أبرزهم,أبرز
أبرم,أبرم
أبرما,أبرم
أبرمت,أبرم
أبرمته,أبرم
أبرمتها,أبرم
أبرمنا,أبرم
أبرمها,أبرم
أبرمهما,أبرم
أبريل,أبريل
أبريلنيسان,أبريلنيسان
أبريليا,أبريليا
أبريو,أبريو
أبزرها,أبزر
أبسا,أبسا
أبسط,أبسط
أبسون,أبسون
أبسويتش,أبسويتش
أبصار,أبصار
أبصر,أبصر
أبصرت,أبصر
أبصق,أبصق
أبطأ,أبطأ
أبطاال,أبطاال
أبطال,بطل
أبطالا,بطل
أبطالك,بطل
أبطالنا,بطل
أبطالها,بطل
أبطالي,بطل
أبطل,أبطل
أبعاد,بعد
أبعاده,بعد
أبعادها,بعد
أبعد,أبعد
أبعداه,أبعد
أبعدت,أبعد
أبعدتاه,أبعدتاه
أبعدتني,أبعدتني
أبعدته,أبعد
أبعدتها,أبعد
أبعدنا,أبعد
أبعده,أبعد
أبعدها,أبعد
أبق,أبق
أبقاه,أبقى
أبقاهما,أبق
أبقت,أبقى
أبقته,أبقى
أبقتهم,أبقى
أبقى,أبقى
أبقي,أبقي
أبكر,أبكر
أبكم,أبكم
أبكي,بكى
أبكيناك,أبكيناك
أبل,وبل
أبلغ,أبلغ
أبلغت,أبلغ
أبلغتكم,أبلغ
أبلغتني,أبلغتني
أبلغتهما,أبلغ
أبلغنا,أبلغ
أبلغناه,أبلغ
أبلغني,أبلغ
أبلغه,أبلغ
أبلغها,أبلغ
أبلغهم,أبلغ
أبلغوا,أبلغ
أبلوا,أبلى
أبلى,أبلى
أبليت,أبلي
أبلينا,أبلي
أبناء,ابن
أبناءه,أبناء
أبناءها,ابن
أبناءهم,ابن
أبناؤها,ابن
أبنائنا,ابن
أبنائه,ابن
أبنائها,ابن
أبنائهم,ابن
أبنائي,ابن
أبني,بنى
أبنيه,بنى
أبهر,أبهر
أبهرالعداء,أبهرالعداء
أبهرت,أبهر
أبهرتاني,أبهرتاني
أبهرنا,أبهر
أبهرني,أبهرني
أبهى,أبهى
أبو,أبو
أبواب,باب
أبوابه,باب
أبوابها,باب
أبوابهم,باب
أبواق,بوق
أبواه,أبوان
أبوبكر,أبوبكر
أبوتريكة,أبوتريكة
أبوتريكةيشهد,أبوتريكةيشهد
أبوته,أبوة
أبوجا,أبوجا
أبوجاوعلى,أبوجاوعلى
أبوجبل,أبوجبل
أبوح,أبوح
أبوظبي,أبوظبي
أبوظبيأبوظبي,أبوظبيأبوظبي
أبوظبيإنتر,أبوظبيإنتر
أبوظبيجاء,أبوظبيجاء
أبوظبيواصل,أبوظبيواصل
أبوغادوس,أبوغادوس
أبوكو,أبوكو
أبولا,أبولا
أبولون,أبولون
أبوندانزيري,أبوندانزيري
أبوندانزيرياستدعى,أبوندانزيرياستدعى
أبونو,أبونو
أبويا,أبوي
أبويل,أبويل
أبى,أبى
أبي,أب
أبيات,بيت
أبياتي,بيت
أبياتيأهدى,أبياتيأهدى
أبيانو,أبيانو
أبياه,أب
أبيب,أبيب
أبيتي,أبي
أبيدال,أبيدال
أبيدجان,أبيدجان
أبيربي,أبيربي
أبيض,أبيض
أبيع,باع
أبيعه,باع
أبيكو,أبيكو
أبيل,أبيل
أبيلي,أبيلي
أبيه,أب
أبيها,أب
أتأثر,أتأثر
أتأخر,أتأخر
أتأذى,أتأذى
أتأقلم,أتأقلم
أتأكد,تأكد
أتألق,أتألق
أتأهل,أتأهل
أتابع,تابع
أتابعه,تابع
أتابعها,تابع
أتاح,أتاح
أتاحت,أتاح
أتاك,أتى
أتاكوات,أتاكوات
أتالانتا,أتالانتا
أتامباييف,أتامباييف
أتاناسيو,أتاناسيو
أتاوالبا,أتاوالبا
أتبادل,أتبادل
أتبع,أتبع
أتبعها,أتبع
أتبناه,أتبنا
أتبنى,أتبنى
أتت,أتى
أتته,أتى
أتجنب,تجنب
أتجنبهما,تجنب
أتحايل,أتحايل
أتحدث,تحدث
أتحرق,أتحرق
أتحرك,تحرك
أتحسن,أتحسن
أتحلى,أتحلى
أتحمل,تحمل
أتحمله,تحمل
أتحول,تحول
أتخذ,اتخذ
أتخطى,أتخطى
أتخلى,تخلى
أتخوف,تخوف
أتخيل,تخيل
أتخيله,تخيل
أتدخل,تدخل
أتدرب,تدرب
أتذكر,تذكر
أتذكره,تذكر
أتذكرها,تذكر
أتذكرون,أتذكرون
أتذمر,أتذمر
أترابهم,أتراب
أتراجع,تراجع
أتردد,تردد
أترفع,أترفع
أترك,ترك
أترون,أترون
أتزورا,أتزورا
أتساءل,تساءل
أتسامح,أتسامح
أتسكع,أتسكع
أتسلل,أتسلل
أتسلم,أتسلم
أتسلى,أتسلى
أتسو,أتسو
أتسوتو,أتسوتو
أتسورا,أتسورا
أتشرف,أتشرف
أتصل,أتصل
أتصور,تصور
أتطلع,تطلع
أتطلعلمقابلة,أتطلعلمقابلة
أتطور,أتطور
أتعاب,أتعاب
أتعاطف,أتعاطف
أتعاف,أتعاف
أتعافى,أتعافى
أتعامل,تعامل
أتعجل,أتعجل
أتعرض,تعرض
أتعرف,تعرف
أتعرفون,أتعرفون
أتعطش,أتعطش
أتعلم,تعلم
أتعمد,أتعمد
أتعهد,تعهد
أتعود,تعود
أتغلب,تغلب
أتغي,أتغي
أتغير,أتغير
أتفاجأ,أتفاجأ
أتفق,اتفق
أتفقد,أتفقد
أتفهم,تفهم
أتفهمهم,تفهم
أتفوق,أتفوق
أتفوه,أتفوه
أتقاسم,أتقاسم
أتقاضاه,أتقاضاه
أتقاضى,أتقاضى
أتقبل,تقبل
أتقدم,تقدم
أتقنت,أتقن
أتكريت,أتكريت
أتكلم,تكلم
أتكلمها,تكلم
أتكنسون,أتكنسون
أتكيف,أتكيف
أتكينسون,أتكينسون
أتلانتا,أتلانتا
أتلانتس,أتلانتس
أتلانتي,أتلانتي
أتلتك,تلا
أتلتيتكو,أتلتيتكو
أتلتيك,أتلتيك
أتلتيكو,أتلتيكو
أتلتيكووجه,أتلتيكووجه
أتلق,أتلق
أتلقى,أتلقى
أتلهف,تلهف
أتليتك,أتلي
أتليتكو,أتليتكو
أتليتي,أتلي
أتليتيك,أتليتيك
أتليتيكو,أتليتيكو
أتم,أتم
أتما,أتم
أتمت,أتم
أتمتع,تمتع
أتمرن,أتمرن
أتمكن,تمكن
أتممنا,أتمم
أتمناه,تمنى
أتمناها,أتم
أتمنى,تمنى
أتميز,تميز
أتنافس,أتنافس
أتنالانتا,أتنالانتا
أتناول,تناول
أتنبأ,تنبأ
أتنبه,أتنبه
أتنفس,تنفس
أتهم,اتهم
أتو,أتو
أتواجد,أتواجد
أتواصل,أتواصل
أتوج,أتوج
أتوجه,توجه
أتوخى,أتوخى
أتورط,أتورط
أتوسل,أتوسل
أتوصل,توصل
أتوقع,توقع
أتوقعه,توقع
أتوقعها,توقع
أتوقف,توقف
أتولى,تولى
أتويل,أتويل
أتى,أتى
أتيا,أتى
أتيان,أتي
أتيت,أتى
أتيح,أتاح
أتيحت,أتاح
أتينا,أتى
أث,أث
أثار,أثار
أثارت,أثار
أثارتها,أثار
أثاره,أثار
أثارها,أثار
أثبت,أثبت
أثبتأمام,أثبتأمام
أثبتا,أثبت
أثبتت,أثبت
أثبتته,أثبت
أثبتنا,أثبت
أثبتناه,أثبت
أثبته,أثبت
أثبتوا,أثبت
أثبنا,أثب
أثخن,أثخن
أثر,أثر
أثرا,أثر
أثرت,أثر
أثرتا,أثر
أثره,أثر
أثرها,أثر
أثرياء,ثري
أثرية,أثري
أثـــــرت,أثر
أثق,وثق
أثقال,أثقال
أثقالا,أثقال
أثقل,أثقل
أثلتيك,أثلتيك
أثلج,أثلج
أثليتيك,أثليتيك
أثمر,أثمر
أثمرت,أثمر
أثمن,أثمن
أثناء,ثني
أثنائها,ثني
أثنت,أثنى
أثنى,أثنى
أثير,أثار
أثيرت,أثار
أثينا,أثينا
أثيناتوج,أثيناتوج
أثيناوستكون,أثيناوستكون
أثيناووفقا,أثيناووفقا
أثيوبي,أثيوبي
أجاب,أجاب
أجابا,أجاب
أجابت,أجاب
أجابني,أجاب
أجابه,أجاب
أجابوا,أجاب
أجاد,أجاد
أجادها,أجاد
أجازة,أجاز
أجازته,أجاز
أجازي,أجاز
أجاسي,أجاسي
أجاكسيو,أجاكسيو
أجانب,أجنبي
أجانبه,أجنبي
أجانبوفي,أجانبوفي
أجانبيذكر,أجانبيذكر
أجبت,أجاب
أجبر,أجبر
أجبرا,أجبر
أجبراه,أجبر
أجبرت,أجبر
أجبرته,أجبر
أجبرنا,أجبر
أجبره,أجبر
أجبروا,أجبر
أجبرونا,أجبرونا
أجبو,أجبو
أجبونلاهور,أجبونلاهور
أجتاحت,أجتاحت
أجتمع,أجتمع
أجد,وجد
أجداده,جد
أجدد,جدد
أجدر,أجدر
أجدها,وجد
أجدى,أجدى
أجذب,أجذب
أجر,أجر
أجرا,أجر
أجراس,جرس
أجراسها,جرس
أجراه,أجرى
أجراها,أجرى
أجراهما,أجر
أجرب,جرب
أجرة,أجرة
أجرت,أجرى
أجرتا,أجرتا
أجرته,أجرى
أجرتها,أجرى
أجره,أجر
أجرهم,أجر
أجرهوبدأت,أجرهوبدأت
أجروا,أجرى
أجرى,أجرى
أجري,أجرى
أجريا,أجرى
أجريت,أجرى
أجرينا,أجرى
أجريناها,أجرى
أجزاء,جزء
أجزائها,جزء
أجزم,جزم
أجسامهم,جسم
أجعل,جعل
أجعله,جعل
أجعلهم,جعل
أجفان,أجفان
أجل,أجل
أجلا,أجل
أجلب,أجلب
أجلت,أجل
أجلس,جلس
أجلسه,أجلس
أجلك,أجل
أجلكم,أجل
أجلنا,أجل
أجله,أجل
أجلهأوضح,أجلهأوضح
أجلها,أجل
أجلهم,أجل
أجلوا,أجل
أجلي,أجل
أجمع,أجمع
أجمعت,أجمع
أجمعين,أجمع
أجمل,أجمل
أجنبي,أجنبي
أجنبيا,أجنبي
أجنبياختارت,أجنبياختارت
أجنبية,أجنبي
أجنبيفي,أجنبيفي
أجنبيين,أجنبي
أجنحة,جناح
أجندة,أجندة
أجندتنا,أجندة
أجندته,أجندة
أجني,أجني
أجنيسكا,أجنيسكا
أجنيشكا,أجنيشكا
أجنيللي,أجنيللي
أجنييسكا,أجنييسكا
أجهدوا,أجهد
أجهز,أجهز
أجهزة,جهاز
أجهزت,أجهزت
أجهش,أجهش
أجهضت,أجهض
أجهل,جهل
أجواء,جو
أجوب,جاب
أجوبة,جواب
أجوديلو,أجوديلو
أجور,أجر
أجورا,أجر
أجورهم,أجر
أجوريو,أجوريو
أجوستو,أجوستو
أجوستين,أجوستين
أجويرو,أجويرو
أجويروتوصل,أجويروتوصل
أجويرووأصبح,أجويرووأصبح
أجويرووكان,أجويرووكان
أجويري,أجويري
أجيال,جيل
أجيب,أجاب
أجيد,أجيد
أجير,أجير
أجيرو,أجيرو
أجيري,أجير
أجييمانج,أجييمانج
أحاديث,حديث
أحاسيسه,أحاسيس
أحاط,أحاط
أحاطت,أحاط
أحاطته,أحاط
أحافظ,حافظ
أحال,أحال
أحالت,أحال
أحاول,حاول
أحايين,أحايين
أحب,أحب
أحبابا,حبيب
أحبابي,حبيب
أحببت,أحب
أحببتها,أحب
أحبذ,أحبذ
أحبذه,أحبذ
أحبط,أحبط
أحبطت,أحبط
أحبطنا,أحبط
أحبك,أحب
أحبكم,أحب
أحبه,أحب
أحبها,أحب
أحبهم,أحب
أحبهما,أحب
أحبوا,أحب
أحبوني,أحبوني
أحبوه,أحب
أحتاج,احتاج
أحتاجه,احتاج
أحترم,احترم
أحترمه,احترم
أحترمهم,احترم
أحتفظ,أحتفظ
أحتفل,أحتفل
أحتمل,احتمل
أحجز,أحجز
أحجم,أحجم
أحجمت,أحجم
أحجية,أحجي
أحد,أحد
أحدا,أحد
أحداث,حدث
أحداثا,حدث
أحدث,أحدث
أحدثت,أحدث
أحدثته,أحدث
أحدثتها,أحدث
أحدثنا,أحدث
أحدثه,أحدث
أحدثها,أحدث
أحدد,حدد
أحدنا,أحد
أحدها,أحد
أحدهم,أحد
أحدهما,أحد
أحدى,أحدى
أحذر,حذر
أحذركم,أحذركم
أحذية,حذاء
أحذيته,حذاء
أحذيتهم,حذاء
أحر,أحر
أحرار,حر
أحراز,أحراز
أحرج,أحرج
أحرجت,أحرج
أحرجه,أحرج
أحرز,أحرز
أحرزا,أحرز
أحرزاها,أحرز
أحرزت,أحرز
أحرزتا,أحرزتا
أحرزته,أحرز
أحرزتها,أحرز
أحرزتهما,أحرز
أحرزنا,أحرز
أحرزناه,أحرز
أحرزه,أحرز
أحرزها,أحرز
أحرزهما,أحرز
أحرزوا,أحرز
أحرص,حرص
أحزاب,حزب
أحزان,حزن
أحزانهم,حزن
أحزاني,حزن
أحزم,أحزم
أحزنت,أحزن
أحزنني,أحزنني
أحس,أحس
أحسب,حسب
أحسست,أحس
أحسم,أحسم
أحسن,أحسن
أحسنت,أحسن
أحصد,حصد
أحصده,حصد
أحصل,حصل
أحضان,حضن
أحضر,أحضر
أحضروا,أحضر
أحطم,أحطم
أحظ,أحظ
أحظى,حظي
أحفاده,حفيد
أحفادي,حفيد
أحفظ,حفظ
أحفظه,حفظ
أحق,أحق
أحقادا,حقد
أحقق,حقق
أحققه,حقق
أحقن,أحقن
أحقية,أحقية
أحقيتنا,أحقية
أحقيته,أحقية
أحقيتهم,أحقية
أحكام,حكم
أحكاما,حكم
أحكامها,حكم
أحكامهم,حكم
أحكم,أحكم
أحكمي,أحكم
أحكي,حكى
أحلام,حلم
أحلاما,حلم
أحلامه,حلم
أحلامهم,حلم
أحلامي,حلم
أحلق,حلق
أحلك,حلك
أحلل,أحلل
أحلم,حلم
أحلى,أحلى
أحمد,أحمد
أحمدي,أحمد
أحمر,أحمر
أحمق,أحمق
أحمقاوأضاف,أحمقاوأضاف
أحمل,حمل
أحمله,حمل
أحن,أحن
أحوال,حال
أحوالكم,حال
أحوالنا,حال
أحواله,حال
أحيا,حي
أحياء,حي
أحيان,حين
أحيانا,حين
أحيت,أحيى
أحيط,أحاط
أحيل,أحال
أحيلوا,أحال
أحيي,حيى
أخ,أخ
أخاف,خاف
أخبار,خبر
أخبارا,خبر
أخباره,خبر
أخبارها,خبر
أخبر,أخبر
أخبرا,أخبر
أخبرت,أخبر
أخبرتكم,أخبر
أخبرته,أخبر
أخبرتهم,أخبر
أخبرك,أخبر
أخبركم,أخبر
أخبرنا,أخبر
أخبرني,أخبر
أخبره,أخبر
أخبرهم,أخبر
أخبروني,أخبر
أخبروه,أخبر
أخت,أخت
أختار,اختار
أختبره,أختبر
أختصر,اختصر
أختلف,اختلف
أختم,أختم
أخته,أخت
أختها,أخت
أختي,أخت
أختير,أختير
أخذ,أخذ
أخذت,أخذ
أخذتم,أخذ
أخذنا,أخذ
أخذناه,أخذ
أخذه,أخذ
أخذها,أخذ
أخذوا,أخذ
أخر,خر
أخرتها,خر
أخرج,أخرج
أخرجت,أخرج
أخرجته,أخرج
أخرجنا,أخرج
أخرجني,أخرج
أخرجه,أخرج
أخرجها,أخرج
أخرجهم,أخرج
أخرست,أخرس
أخرها,خر
أخرى,آخر
أخرىأثار,أخرىأثار
أخرىأما,أخرىأما
أخرىإلا,أخرىإلا
أخرىاقترب,أخرىاقترب
أخرىترجمةضمياء,أخرىترجمةضمياء
أخرىكاكا,أخرىكاكا
أخرىمازال,أخرىمازال
أخرىواختار,أخرىواختار
أخرىوتتربع,أخرىوتتربع
أخرىوتقدمت,أخرىوتقدمت
أخرىوشارك,أخرىوشارك
أخرىوصرح,أخرىوصرح
أخرىوقال,أخرىوقال
أخرىوقد,أخرىوقد
أخرىوكانت,أخرىوكانت
أخرىوهي,أخرىوهي
أخرىويؤيد,أخرىويؤيد
أخرىويتصدر,أخرىويتصدر
أخرىويتوقع,أخرىويتوقع
أخرىيلعب,أخرىيلعب
أخريات,آخر
أخريان,آخر
أخرين,خر
أخريين,أخرى
أخسر,أخسر
أخشاه,خشي
أخشى,خشي
أخصائي,خصيص
أخضر,أخضر
أخضع,أخضع
أخضعوا,أخضع
أخطأ,أخطأ
أخطأت,أخطأ
أخطأته,أخطأ
أخطاء,خطأ
أخطاءنا,خطأ
أخطاءه,خطأ
أخطاءوأصبح,أخطاءوأصبح
أخطاؤه,خطأ
أخطائنا,خطأ
أخطائنارانييري,أخطائنارانييري
أخطائه,خطأ
أخطائهم,خطأ
أخطائي,أخطائي
أخطر,أخطر
أخطرت,أخطر
أخطرها,أخطر
أخطرهما,أخطر
أخطط,خطط
أخطو,أخطو
أخف,أخف
أخفت,أخفى
أخفف,خفف
أخفق,أخفق
أخفقا,أخفق
أخفقت,أخفق
أخفقنا,أخفق
أخفقوا,أخفق
أخفي,أخفى
أخفيا,أخفى
أخفيها,أخفى
أخلاق,خلق
أخلاقا,خلق
أخلاقه,خلق
أخلاقها,خلق
أخلاقي,أخلاقي
أخلاقيا,أخلاقي
أخلاقيات,أخلاقي
أخلاقية,أخلاقي
أخلد,أخلد
أخلف,أخلف
أخوض,خاض
أخوضها,خاض
أخوه,أخ
أخوي,أخوي
أخي,أخ
أخيب,خيب
أخير,أخير
أخيرا,أخير
أخيرة,أخير
أخيرتان,أخيرتان
أخيف,أخيف
أخيل,أخيل
أد,أد
أداء,أداء
أداءا,أداء
أداءك,أداء
أداءنا,أداء
أداءه,أداء
أداءها,أداء
أداءهم,أداء
أداءهما,أداء
أداءولكن,أداءولكن
أداؤك,أداؤك
أداؤنا,أداء
أداؤه,أداء
أداؤهم,أداء
أدائك,أداء
أدائكم,أداء
أدائنا,أداء
أدائه,أداء
أدائهأعلن,أدائهأعلن
أدائها,أداء
أدائهم,أداء
أدائهما,أداء
أدائهن,أداء
أدائي,أداء
أدار,أدار
أدارت,أدار
أدارها,أدار
أدافع,أدافع
أداكس,أداكس
أدالبيرتو,أدالبيرتو
أدام,أدام
أداما,أدام
أدامو,أدامو
أدان,أدنى
أدانت,أدان
أدت,أدى
أدخل,أدخل
أدخلت,أدخل
أدخلتها,أدخل
أدخلنا,أدخل
أدخله,أدخل
أدخلها,أدخل
أدخلوا,أدخل
أدرأ,أدرأ
أدراج,درج
أدراجهم,درج
أدراك,أدراك
أدرب,أدرب
أدربه,أدرب
أدرج,أدرج
أدرجت,أدرج
أدرجوا,أدرج
أدرس,درس
أدرسون,درس
أدرك,أدرك
أدركا,أدرك
أدركت,أدرك
أدركته,أدرك
أدركنا,أدرك
أدركوا,أدرك
أدري,درى
أدرياتيك,أدرياتيك
أدرياتيكو,أدرياتيكو
أدرياس,أدرياس
أدريان,أدريان
أدريانو,أدريانو
أدريانيس,أدريانيس
أدريزولا,أدريزولا
أدرينالين,أدرينالين
أدرينالينا,أدرينالينا
أدسون,أدسون
أدع,ودع
أدعمه,أدعم
أدعو,دعا
أدعى,أدعى
أدعي,ادعى
أدغار,أدغار
أدفع,دفع
أدفعهم,دفع
أدفنك,أدفنك
أدفوكات,أدفوكات
أدق,أدق
أدل,أدل
أدلة,دليل
أدلر,أدلر
أدلوا,أدلى
أدلى,أدلى
أدلي,أدلى
أدم,أدم
أدمانه,أدم
أدمير,أدمير
أدميرا,أدميرا
أدناه,أدنى
أدناها,أدنى
أدنبره,أدنبره
أدنوك,أدنوك
أدنى,أدنى
أدني,أدنى
أدهش,أدهش
أدهشني,أدهشني
أدو,أدو
أدوا,أدى
أدوات,أداة
أدواتنا,أداة
أدوار,دور
أدوارا,دور
أدواردو,أدواردو
أدوارها,دور
أدوريز,أدوريز
أدولف,أدولف
أدولفو,أدولفو
أدونا,أدو
أدوية,دواء
أدوين,أدو
أدى,أدى
أدي,أدى
أديابيور,أديابيور
أدياه,أدى
أديب,أديب
أديباه,أديب
أديبايو,أديبايو
أديبايور,أديبايور
أديت,أدى
أديداس,أديداس
أديداسوقد,أديداسوقد
أدير,أدار
أديس,أديس
أديسون,أديسون
أديلتون,أديلتون
أديليد,أديليد
أديمولا,أديمولا
أدين,أدان
أدينا,أدى
أدينسون,أدينسون
أدينوا,أدان
أدينور,أدينور
أديوس,أديوس
أديياه,أديياه
أذار,أذار
أذاع,أذاع
أذاعت,أذاع
أذاعه,أذاع
أذاعها,أذاع
أذربيجان,أذربيجان
أذربيجانوسجل,أذربيجانوسجل
أذربيجانويتطلع,أذربيجانويتطلع
أذكر,ذكر
أذكياء,أذكياء
أذل,أذل
أذلت,ذليل
أذله,أذل
أذن,أذن
أذنا,أذن
أذنه,أذن
أذني,أذن
أذنيه,أذن
أذهان,ذهن
أذهاننا,ذهن
أذهانهم,ذهن
أذهب,أذهب
أذهل,أذهل
أذهلت,أذهل
أذهلتني,أذهلتني
أذهلني,أذهلني
أذى,أذى
أذىكشر,أذىكشر
أر,أر
أراء,أراء
أرات,أرات
